ind,qf,qt,tm,ta,pt,pf
433,-0.04704653284846819,0.04786307873595812,1.0,0.0,-0.22392928151396396,0.22597403232806548
434,0.002193014757843746,-0.005329055948723119,1.0,0.0,-0.020747024813555934,0.02094179453632691
435,-0.005597598451096512,0.003974376487434078,1.0,0.0,-0.07764434496134627,0.07839995824643535
436,0.019108029756446474,-0.02028359758160488,1.0,0.0,-0.10621129709873751,0.10635084745775338
438,0.033983819512018565,-0.04921069660771304,1.0,0.0,-0.23350030679449688,0.23357076308519814
44,0.4381081476979474,-1.0635611088390733,1.0,0.0,0.40864035585646574,-0.403427778714494
441,-0.0190070170186103,0.01098296890617675,1.0,0.0,-0.05736362964054892,0.05749939645286091
442,0.013853489971406239,-0.015580453530227828,1.0,0.0,0.03052733497397128,-0.030471236181547012
443,-0.009219664184566257,0.00893802822235872,1.0,0.0,0.1122829748180114,-0.11160505928150116
444,-0.017237346308961184,0.016994063701958783,1.0,0.0,0.07385548588715957,-0.07378729171361201
445,-0.016318301407634555,-0.023093801376805372,1.0,0.0,-0.005156809742398062,0.005157672223526021
446,-0.005831680847621774,-0.0400468260153578,1.0,0.0,0.0,4.646009126615023e-6
447,-0.04216956922890725,0.044283479581284806,1.0,0.0,-0.957528073555757,0.959319348920193
448,0.18576822472415358,-0.1999996393993136,1.0,0.0,0.05284149476012833,-0.05211679720279641
449,0.08272353715553273,-0.09999991760725883,1.0,0.0,0.039270592684856075,-0.03907911820520283
45,0.7316960902906453,-0.6811990757531464,1.0,0.0,3.962125352601303,-3.936200602928799
450,-0.0448888865417442,-0.016861220453288542,1.0,0.0,-0.05706284879279213,0.05769684914636999
451,0.0,-0.06352880779301363,1.0,0.0,0.00043608876792912573,0.0
452,-0.1389088635281196,0.12725527493852928,1.0,0.0,0.09115271655368437,-0.09090031346263049
453,1.2548303913672338,-1.226375248063818,1.0,0.0,4.401951879483337,-4.393651668505436
454,-0.048467014281706175,-0.07032599471765925,1.0,0.0,-0.3291410323781624,0.330592575779469
455,-0.35177809769260215,0.3349029756152383,1.0,0.0,-1.202104890286175,1.2067121553584206
456,-0.40405197578989166,0.31164177787679176,1.0,0.0,-2.1921818139986233,2.215642355051886
458,-0.33967882109179376,0.1505329476761533,1.0,0.0,-0.6751290825254914,0.6836509320284496
459,0.39445750326249124,-0.46135140844160105,1.0,0.0,0.15700956450839337,-0.15589330518589375
46,0.33709765623876903,-0.1777649751517055,1.0,0.0,4.655541703864147,-4.598966065044662
460,-0.32428971518401606,0.1762589241718116,1.0,0.0,-0.5907653030877885,0.5966036086519438
461,-0.3421310625202027,0.26333265255673005,1.0,0.0,-0.05859021428565426,0.05920455525889958
462,0.7460369281133474,-0.738055772672745,1.0,0.0,1.2259037047070438,-1.218752949724827
463,-0.37798234041491535,0.16877150583754974,1.0,0.0,-0.5333678797819362,0.5397809988132344
464,-0.1971301864935167,0.1650141167794078,1.0,0.0,-1.282556085984262,1.2929693293525573
47,-0.8193796153658246,0.9159488333661627,1.0,0.0,-4.20465992635482,4.237911329427004
470,-0.7577878225407341,0.6881764431190998,1.0,0.0,-0.9774977076399077,0.9782856200249829
471,-0.20647406439652727,0.12722157782560423,1.0,0.0,-1.079954587109848,1.0806778498752279
474,0.16368275325221493,-0.21424453220150558,1.0,0.0,0.19215443450320582,-0.19160385206498354
475,0.04084356008509097,-0.33469179124186166,1.0,0.0,-0.6642844281475896,0.6672735889297736
478,0.49396585715509445,-0.5679231961854244,1.0,0.0,1.326487057308907,-1.3215367499192758
479,-0.008398689501844069,-0.19059666448839163,1.0,0.0,-0.16289495112686003,0.1636335989959299
48,0.12393358175794407,-0.6808557351749877,1.0,0.0,1.0047294152427844,-0.9982974960694236
480,-0.031240912484201796,-0.3480406055797455,1.0,0.0,0.5284259147692174,-0.5254869032307528
482,-0.35120014294336904,0.10661215970866483,1.0,0.0,-1.7472377672618284,1.766835567482648
483,-0.2732332187226665,0.2462937466992863,1.0,0.0,-1.0745651416620114,1.0911637059412171
485,0.10310339207122134,-0.3596018175235556,1.0,0.0,-0.19372968738409937,0.1942246224665589
487,-0.5241623650824783,0.48965378932794096,1.0,0.0,-2.365461017518864,2.392712855032598
49,-2.321588269683894,-0.26473843210974485,1.0,0.0,2.645543639960019,-2.644525294206102
490,-0.17474642244693558,0.1751855385662277,1.0,0.0,-1.2774603297755922,1.2886824053427186
491,-0.2889477183779532,-0.20323983878651242,1.0,0.0,-0.41250772697263244,0.4192630435275085
492,-0.43776101007764906,0.4434657537658018,1.0066135225251696,0.0,1.5872596465668114,-1.5869174009483997
493,0.08251266473524888,-0.10404317554391194,1.0,0.0,-0.13205409798632808,0.13209460404348258
494,-0.1543084871597896,-0.1569538298991286,1.0,0.0,0.34101315714269975,-0.34026245580475306
496,0.1543084871597896,-0.17503629326350995,1.0,0.0,-0.34004189853371525,0.34026245580475306
497,-0.13578046513565828,-0.17261912095792795,1.0,0.0,-0.3132482586443497,0.31573520531484034
498,0.336903739681365,-0.354134034225182,1.0,0.0,0.6403252701816066,-0.6391290887900267
499,-0.03427072117745268,0.0030968636099520685,1.0,0.0,-1.7072761588814598,1.7099713189418195
5,0.009393351262994572,-0.008361221902989291,1.0,0.0,0.4985236850677019,-0.495792423153502
500,0.1666009514822879,-0.21124211523675135,1.0,0.0,0.5655560125252784,-0.5652456493224239
502,-0.45759065601755144,0.4274368563482895,1.0,0.0,-2.289775860891913,2.29156000349127
504,-0.08047541323102907,0.07186271580740086,1.0,0.0,-0.19482271735834714,0.19493223042030194
505,0.07221193907226499,-0.07874743304396811,1.0,0.0,0.1929227471805024,-0.1927829043325515
506,-0.17452028044373302,-0.010476093957134534,1.0,0.0,-0.0042605716175672615,0.004381072381606546
507,-0.3221374129487309,0.2855901112023471,1.0,0.0,0.9192647503251044,-0.9183430533349792
509,-0.327140153078267,0.22216794068722237,1.0,0.0,0.25956755400021564,-0.25827378352446173
51,-0.06062986556770773,0.037284969047568235,1.0,0.0,-0.15756341430973103,0.1585047031577708
510,0.7746763166291856,-0.7990740866292267,1.0,0.0,-3.30490652806615,3.3147056147479503
512,-0.028468226338831906,-0.07074494997230307,1.0,0.0,0.5368397381634349,-0.5362199962801197
513,-0.052211177970168006,-0.09701738234897032,1.0,0.0,-0.22719866896097224,0.22782625156465927
514,3.3076065952066283,-2.577494321964963,0.9448685777898339,0.0,6.017101163760856,-6.0089779708620705
515,-1.2413604491793209,1.2346231289633733,1.0,0.0,-1.0129253524356914,1.01469906467772
516,-0.5682824125804018,0.5271555651842331,1.0,0.0,-0.4450314664077279,0.44569352742698076
517,-0.30586589569494216,-0.1485113459847937,1.0,0.0,-0.1263097778468298,0.12639741309796687
52,-0.03557505361432037,0.014139043244060462,1.0,0.0,0.16055563249927,-0.15962574892133774
520,0.4855708784850492,-0.5113099025497907,1.0,0.0,1.875915950699029,-1.8697507968719485
521,-0.4811893882208065,0.4463066010334964,1.0,0.0,1.1959890886091502,-1.1941794084441062
522,0.6532987056527808,-1.4831364707689818,1.0,0.0,2.0002963466720587,-1.9892654096290336
524,-0.7508324527299247,-1.0873115966201674,1.0,0.0,-1.1265487565104437,1.1323399055773078
526,-0.43391109223613644,0.2931170297904904,1.0,0.0,-1.3446106489601481,1.3474675795886735
527,0.705891919351152,-1.006703013027772,1.0,0.0,0.053242451225278084,-0.0510083359457845
529,0.05332510071576162,-1.3134169347595277,1.0,0.0,1.3606360638034873,-1.3587851550981347
53,-0.32482499287228356,0.04402949637465777,1.0,0.0,0.2204573310133731,-0.22035313079123675
530,-0.15905933439985498,-0.05266642083747086,1.0,0.0,2.693006885455942,-2.691974983497861
531,3.2157859181298227,-3.6738186416715877,1.0,0.0,-2.0443091680801024,2.0448303946845323
534,-1.43173062806837,-0.1280095215481985,1.0,0.0,-0.8132913365455753,0.814354586328019
536,-4.012028356133426,0.5371654972253863,1.0,0.0,0.9331537935642144,-0.9298775485551686
537,-1.4903524104602126,0.4241255736184603,1.0,0.0,0.211121240572224,-0.210342202908353
538,1.4956539593866374,-2.1588252876970513,1.0,0.0,-2.9963600564028505,2.9979837898765824
540,-2.163732734097941,1.6445337091527832,1.0,0.0,-1.5541029317595756,1.5565403249955883
541,0.2656980956113427,-0.5759019571949359,1.0,0.0,-1.8503677625460364,1.851046800855098
542,1.014039575445278,-1.0335780364249223,1.0,0.0,9.559671488153606,-9.552301027216508
544,0.18025792864365495,-1.7511901843597828,1.0,0.0,3.1953958470128816,-3.1820885104475463
546,-0.6460607664148121,-0.7144930363359969,1.0,0.0,-3.0818779565132255,3.0839169521392775
547,-0.38944447352235617,-1.7930902637277844,1.0,0.0,1.941656221928746,-1.9352479629016621
548,-2.7119183957341773,2.378954392207417,1.0,0.0,4.597829579692431,-4.590714158775161
55,-0.007724017393823233,-1.469533368900955,1.0,0.0,-0.44007235158198404,0.4413807846906087
550,-0.4203980888485921,-0.43595680749794563,1.0,0.0,7.628484920973593,-7.620165879328518
551,0.029039775698262264,-0.029180055704038876,1.0,0.0,-0.09942354425196231,0.09946818029326406
552,0.01912683984377137,-0.019901895067547897,1.0,0.0,-0.04360357558200035,0.043632929033648044
553,0.10450607281729202,-0.10200490350550895,1.0,0.0,-0.3147894785352391,0.3155549429822119
554,0.0342474857279559,-0.03470731723051103,1.0,0.0,-0.08155266777089296,0.08160815629552252
555,0.02591214186058879,-0.026753957166469694,1.0,0.0,-0.06125299073131391,0.06134086920172307
