elm_loc_name,elm_PfFlag,elm_VFlag,elm_Tp,elm_Kqp,elm_Kqi,elm_QFlag,elm_Kvp,elm_Kvi,elm_Trv,elm_db1,elm_db2,elm_Kqv,elm_Vdip,elm_Vup,elm_Tiq,elm_Tpord,elm_PqFlag,elm_Imax,elm_Vref0,elm_Qmin,elm_Vmin,elm_Iql1,elm_Pmin,elm_dPmin,elm_Qmax,elm_Vmax,elm_Iqh1,elm_Pmax,elm_dPmax,con_gen
REEC_B_gen_3594_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,gen_3594_1.ElmPvsys
REEC_B_gen_3649_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,gen_3649_1.ElmPvsys
REEC_B_gen_4020_2,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,gen_4020_2.ElmPvsys
REEC_B_gen_4022_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,gen_4022_1.ElmPvsys
REEC_B_pv_N1_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,pv_N1_1.ElmPvsys
REEC_B_pv_N2_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,pv_N2_1.ElmPvsys
REEC_B_pv_N3_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,pv_N3_1.ElmPvsys
REEC_B_pv_N4_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,pv_N4_1.ElmPvsys
REEC_B_pv_N5_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,pv_N5_1.ElmPvsys
REEC_B_pv_N6_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,pv_N6_1.ElmPvsys
REEC_B_pv_N7_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,pv_N7_1.ElmPvsys
REEC_B_pv_N8_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,pv_N8_1.ElmPvsys
REEC_B_pv_Q1_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,pv_Q1_1.ElmPvsys
REEC_B_pv_Q2_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,pv_Q2_1.ElmPvsys
REEC_B_pv_Q3_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,pv_Q3_1.ElmPvsys
REEC_B_pv_Q4_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,pv_Q4_1.ElmPvsys
REEC_B_pv_Q5_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,pv_Q5_1.ElmPvsys
REEC_B_pv_Q6_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,pv_Q6_1.ElmPvsys
REEC_B_pv_Q7_1,0.0,1.0,0.02,1.0,0.7,0.0,1.0,0.7,0.02,-0.05,0.05,2.0,0.8,1.15,0.02,0.02,0.0,1.3,0.0,-0.43,0.8,-1.44,0.0,-999.0,0.43,1.15,1.44,1.0,999.0,pv_Q7_1.ElmPvsys
