hour,disturbance_gen,disturbance_size,δ_stab,overspeed,underspeed,end_time,out_of_step,out_of_step_time,nadir,nadir_time
16,wtg_S3_1,370.0,true,false,false,20.0,false,0.0,49.8202994933772,8.2116666667
16,wtg_V5_1,1685.0,true,false,false,20.0,false,0.0,49.24489134622353,2.1716666667
17,gen_1149,585.0,true,false,false,20.0,false,0.0,49.610722726771165,8.5716666667
17,pv_N3_1,416.0,true,false,false,20.0,false,0.0,49.68984993238542,2.6516666667
17,pv_Q8_1,1693.0,true,false,false,20.0,false,0.0,48.9761602658974,9.3416666667
17,pv_V1_1,586.0,true,false,false,20.0,false,0.0,49.59898010042392,8.3216666667
17,wtg_N3_1,467.0,true,false,false,20.0,false,0.0,49.596052797364024,2.0816666667
17,wtg_Q4_1,326.0,true,false,false,20.0,false,0.0,49.723040969237736,8.9416666667
17,wtg_Q7_1,672.0,true,false,false,20.0,false,0.0,49.58475330375669,8.8016666667
17,wtg_Q9_1,828.0,true,false,false,20.0,false,0.0,48.84338191826808,4.235
17,wtg_S3_1,300.0,true,false,false,20.0,false,0.0,49.77806926173915,9.3016666667
17,wtg_V5_1,1647.0,true,false,false,20.0,false,0.0,48.77890434958877,2.5716666667
18,gen_1149,600.0,true,false,false,20.0,false,0.0,49.60585541707801,8.4216666667
18,pv_N3_1,424.0,true,false,false,20.0,false,0.0,49.691748256923404,2.5416666667
18,pv_Q7_1,636.0,true,false,false,20.0,false,0.0,49.60123390414345,8.7316666667
18,pv_Q8_1,1604.0,true,false,false,20.0,false,0.0,49.00410993148277,8.9916666667
18,pv_V1_1,586.0,true,false,false,20.0,false,0.0,49.60956431498871,8.2916666667
18,wtg_N3_1,473.0,true,false,false,20.0,false,0.0,49.59722902727026,1.9816666667
18,wtg_Q4_1,281.0,true,false,false,20.0,false,0.0,49.754857964363005,8.6716666667
18,wtg_Q9_1,768.0,true,false,false,20.0,false,0.0,48.80988150015197,3.5383333333
18,wtg_S3_1,289.0,true,false,false,20.0,false,0.0,49.787974595229876,9.3116666667
18,wtg_V5_1,1633.0,true,false,false,20.0,false,0.0,48.92117180787082,2.5616666667
19,gen_1149,579.0,true,false,false,20.0,false,0.0,49.62216662842658,8.4716666667
19,pv_N3_1,408.0,true,false,false,20.0,false,0.0,49.702359477507386,2.5816666667
19,pv_Q7_1,602.0,true,false,false,20.0,false,0.0,49.623495068946795,8.7616666667
19,pv_Q8_1,1514.0,true,false,false,20.0,false,0.0,49.07424455939754,8.9916666667
19,pv_V1_1,586.0,true,false,false,20.0,false,0.0,49.6120778989419,8.3316666667
19,pv_V5_1,330.0,true,false,false,20.0,false,0.0,49.766202431517684,8.3616666667
19,wtg_N3_1,457.0,true,false,false,20.0,false,0.0,49.61231173413564,2.0016666667
19,wtg_Q9_1,727.0,true,false,false,20.0,false,0.0,48.86687313632328,3.55
19,wtg_S3_1,282.0,true,false,false,20.0,false,0.0,49.79623023798356,9.3816666667
19,wtg_V5_1,1529.0,true,false,false,20.0,false,0.0,48.971227805290205,2.5916666667
20,gen_1149,662.0,true,false,false,20.0,false,0.0,49.57123781785803,8.3716666667
20,pv_N3_1,472.0,true,false,false,20.0,false,0.0,49.6677815064858,2.5116666667
20,pv_Q7_1,678.0,true,false,false,20.0,false,0.0,49.58169502135693,8.7116666667
20,pv_Q8_1,1715.0,true,false,false,20.0,false,0.0,48.95792795257495,9.0616666667
20,pv_V1_1,586.0,true,false,false,20.0,false,0.0,49.61167562166923,8.2416666667
20,pv_V5_1,332.0,true,false,false,20.0,false,0.0,49.76343523253783,8.2816666667
20,wtg_N3_1,508.0,true,false,false,20.0,false,0.0,49.57257841788456,1.9616666667
20,wtg_Q9_1,810.0,true,false,false,20.0,false,0.0,48.76578804301229,3.51
20,wtg_S3_1,340.0,true,false,false,20.0,false,0.0,49.758256468733734,9.3016666667
20,wtg_V5_1,1414.0,true,false,false,20.0,false,0.0,49.05462422508852,2.4816666667
21,gen_1149,590.0,true,false,false,20.0,false,0.0,49.637383770046625,8.3016666667
21,pv_N3_1,417.0,true,false,false,20.0,false,0.0,49.71265424715709,2.4616666667
21,pv_Q7_1,612.0,true,false,false,20.0,false,0.0,49.52005160692986,9.1416666667
21,pv_Q8_1,1541.0,true,false,false,20.0,false,0.0,49.11941663073826,8.7716666667
21,pv_V1_1,586.0,true,false,false,20.0,false,0.0,49.636739427293435,8.2416666667
21,wtg_N3_1,464.0,true,false,false,20.0,false,0.0,49.63059594110316,1.9016666667
21,wtg_Q9_1,731.0,true,false,false,20.0,false,0.0,48.970726772716276,3.245
21,wtg_V3_1,498.0,true,false,false,20.0,false,0.0,49.65340273162573,2.2116666667
21,wtg_V4_1,435.0,true,false,false,20.0,false,0.0,49.69490820838784,2.2416666667
21,wtg_V5_1,1289.0,true,false,false,20.0,false,0.0,49.193052994339496,2.5216666667
22,gen_1149,599.0,true,false,false,20.0,false,0.0,49.61113591597684,8.3816666667
22,pv_N3_1,428.0,true,false,false,20.0,false,0.0,49.694119246213134,2.5116666667
22,pv_Q7_1,611.0,true,false,false,20.0,false,0.0,49.61910264561892,8.6516666667
22,pv_Q8_1,1539.0,true,false,false,20.0,false,0.0,49.065725462874376,8.9216666667
22,pv_V1_1,586.0,true,false,false,20.0,false,0.0,49.612862945921606,8.2216666667
22,pv_V5_1,463.0,true,false,false,20.0,false,0.0,49.68899396520449,8.2616666667
22,wtg_N3_1,468.0,true,false,false,20.0,false,0.0,49.604906816753584,1.9516666667
22,wtg_Q9_1,732.0,true,false,false,20.0,false,0.0,48.83879761259553,3.4166666667
22,wtg_S3_1,361.0,true,false,false,20.0,false,0.0,49.74683216783603,9.3016666667
22,wtg_V5_1,1241.0,true,false,false,20.0,false,0.0,49.14327455653324,2.4616666667
23,gen_1149,656.0,true,false,false,20.0,false,0.0,49.574712459912334,8.3416666667
