name,x,y
bus_2030,4827.0,4766.0
bus_2033,5371.0,2430.0
bus_2035,5375.0,2446.0
bus_2036,5342.0,2379.0
bus_2037,5332.0,2366.0
bus_2038,5321.0,2368.0
bus_2039,4363.0,3066.0
bus_2040,4498.0,2476.0
bus_2041,4518.0,2459.0
bus_2043,4740.0,2389.0
bus_2044,4734.0,2413.0
bus_2045,4729.0,2380.0
bus_2046,4737.0,2355.0
bus_2047,4749.0,2364.0
bus_2054,3749.0,2958.0
bus_2055,3744.0,2978.0
bus_2056,3761.0,2954.0
bus_2057,3802.0,2890.0
bus_2058,3791.0,2886.0
bus_2059,3783.0,2902.0
bus_2060,5147.0,3614.0
bus_2061,5140.0,3569.0
bus_2062,5146.0,3590.0
bus_2063,3957.0,3523.0
bus_2064,3967.0,3494.0
bus_2065,5430.0,2192.0
bus_2066,5439.0,1962.0
bus_2068,5386.0,2019.0
bus_2069,5413.0,1916.0
bus_2072,4093.0,2091.0
bus_2073,4635.0,2356.0
bus_2074,4044.0,2911.0
bus_2075,4025.0,2938.0
bus_2076,4137.0,1985.0
bus_2077,3649.0,3386.0
bus_2078,3576.0,3137.0
bus_2079,3593.0,3136.0
bus_2080,3582.0,3153.0
bus_2081,3568.0,3160.0
bus_2082,4278.0,3452.0
bus_2085,5087.0,2826.0
bus_2086,4919.0,2616.0
bus_2090,4212.0,2865.0
bus_2091,4986.0,3638.0
bus_2092,5288.0,2819.0
bus_2093,5024.0,2683.0
bus_2094,5023.0,2664.0
bus_2095,5017.0,2647.0
bus_2096,4202.0,2506.0
bus_2097,4511.0,2477.0
bus_2099,4256.0,2727.0
bus_2100,4235.0,2533.0
bus_2101,4098.0,2905.0
bus_2102,4913.0,4817.0
bus_2103,4929.0,2486.0
bus_2104,4507.0,2572.0
bus_2105,4322.0,3042.0
bus_2106,4204.0,3139.0
bus_2107,5013.0,3659.0
bus_2108,4438.0,3268.0
bus_2109,4282.0,2929.0
bus_2111,4598.0,2563.0
bus_2118,5042.0,2741.0
bus_2120,4793.0,3905.0
bus_2121,4982.0,2708.0
bus_2122,4887.0,3393.0
bus_2125,4562.0,3498.0
bus_2126,4761.0,3792.0
bus_2128,4398.0,2883.0
bus_2129,4223.0,3299.0
bus_2136,4958.0,2636.0
bus_2139,5194.0,4867.0
bus_2140,5075.0,2394.0
bus_2143,5311.0,2468.0
bus_2145,4384.0,3227.0
bus_2146,4522.0,2834.0
bus_2147,4751.0,3052.0
bus_2150,4650.0,2278.0
bus_2151,3848.0,3151.0
bus_2158,5046.0,2817.0
bus_2162,4295.0,3508.0
bus_2164,4995.0,2930.0
bus_2167,4935.0,2591.0
bus_2168,4912.0,3023.0
bus_2169,4687.0,3718.0
bus_2170,4863.0,3469.0
bus_2171,4840.0,3439.0
bus_2175,3892.0,3320.0
bus_2176,4262.0,2881.0
bus_2177,4251.0,3047.0
bus_2178,4958.0,3095.0
bus_2179,4338.0,3359.0
bus_2181,4861.0,3110.0
bus_2186,4991.0,2748.0
bus_2187,5247.0,2871.0
bus_2189,4457.0,2810.0
bus_2190,4794.0,4264.0
bus_2191,4798.0,4795.0
bus_2192,4805.0,3965.0
bus_2195,4771.0,4426.0
bus_2196,3567.0,3938.0
bus_2197,4946.0,2489.0
bus_2198,5018.0,3032.0
bus_2199,5065.0,3240.0
bus_2200,3781.0,3712.0
bus_2201,4632.0,3149.0
bus_2202,4779.0,2415.0
bus_2203,4207.0,3409.0
bus_2204,3990.0,3567.0
bus_2205,3701.0,3528.0
bus_2206,4938.0,3176.0
bus_2207,4787.0,3322.0
bus_2208,4511.0,3337.0
bus_2209,3976.0,3520.0
bus_2210,4488.0,2407.0
bus_2211,4469.0,2316.0
bus_2213,4155.0,2704.0
bus_2214,4299.0,2829.0
bus_2215,4225.0,2764.0
bus_2216,4149.0,2837.0
bus_2218,4465.0,2358.0
bus_2219,4178.0,2482.0
bus_2220,4451.0,3188.0
bus_2221,4469.0,2445.0
bus_2222,4537.0,2485.0
bus_2224,5071.0,2645.0
bus_2225,4399.0,2526.0
bus_2226,4337.0,2635.0
bus_2227,4060.0,2823.0
bus_2228,4074.0,2812.0
bus_2229,5052.0,3737.0
bus_2231,4999.0,2598.0
bus_2232,4987.0,2598.0
bus_2233,4667.0,2490.0
bus_2234,4824.0,3757.0
bus_2235,4879.0,3747.0
bus_2236,4382.0,2723.0
bus_2237,4394.0,2787.0
bus_2238,4372.0,2583.0
bus_2239,4163.0,3143.0
bus_2240,4152.0,2985.0
bus_2241,5162.0,2618.0
bus_2242,5456.0,2364.0
bus_2243,4391.0,3144.0
bus_2244,5560.0,2230.0
bus_2245,5537.0,2185.0
bus_2246,5568.0,2108.0
bus_2247,5592.0,2177.0
bus_2248,4540.0,2750.0
bus_2249,4530.0,2738.0
bus_2251,4981.0,3723.0
bus_2252,4474.0,2350.0
bus_2254,5500.0,2271.0
bus_2255,5378.0,2318.0
bus_2256,4965.0,3717.0
bus_2257,4927.0,3733.0
bus_2260,5426.0,2360.0
bus_2262,5365.0,2208.0
bus_2264,5089.0,2708.0
bus_2265,4135.0,2274.0
bus_2266,4100.0,3061.0
bus_2267,4056.0,2997.0
bus_2268,4068.0,2983.0
bus_2269,4152.0,2252.0
bus_2270,3601.0,3226.0
bus_2271,4296.0,3442.0
bus_2272,4958.0,2483.0
bus_2273,4907.0,2935.0
bus_2274,4918.0,2929.0
bus_2275,4695.0,3644.0
bus_2276,4911.0,3431.0
bus_2277,5117.0,2751.0
bus_2278,5109.0,2730.0
bus_2279,5089.0,2425.0
bus_2280,4207.0,2610.0
bus_2281,4228.0,2944.0
bus_2284,4993.0,3051.0
bus_2285,4985.0,3025.0
bus_2286,4333.0,3285.0
bus_2287,4985.0,3373.0
bus_2289,4867.0,3227.0
bus_2290,4868.0,3191.0
bus_2291,4727.0,2653.0
bus_2293,4837.0,4371.0
bus_2294,4484.0,2348.0
bus_2295,4458.0,2714.0
bus_2296,4129.0,2582.0
bus_2297,4117.0,2599.0
bus_2298,4438.0,3192.0
bus_2299,4459.0,3208.0
bus_2300,4548.0,2491.0
bus_2303,3654.0,3777.0
bus_2304,3670.0,3816.0
bus_2306,4397.0,3096.0
bus_2307,5458.0,2061.0
bus_2311,5479.0,1946.0
bus_2312,5122.0,2619.0
bus_2313,4110.0,2169.0
bus_2314,3634.0,3308.0
bus_2315,4285.0,3423.0
bus_2320,4927.0,2941.0
bus_2322,5019.0,3319.0
bus_2323,5012.0,3299.0
bus_2324,5028.0,3333.0
bus_2325,5025.0,3356.0
bus_2326,4730.0,2584.0
bus_2328,4747.0,2573.0
bus_2332,4823.0,4341.0
bus_2333,4858.0,4292.0
bus_2334,4849.0,4270.0
bus_2335,5008.0,2665.0
bus_2336,4994.0,2651.0
bus_2337,4571.0,3425.0
bus_2342,3777.0,3045.0
bus_2343,3809.0,2987.0
bus_2344,5462.0,2271.0
bus_2348,3621.0,3321.0
bus_2351,4168.0,2404.0
bus_2352,5005.0,2641.0
bus_2355,2252.0,5728.0
bus_3000,3886.0,12160.0
bus_3001,3140.0,12392.0
bus_3002,2840.0,12563.0
bus_3004,2641.0,13453.0
bus_3005,2583.0,13520.0
bus_3006,2600.0,13535.0
bus_3007,2649.0,9562.0
bus_3008,2581.0,11665.0
bus_3009,2745.0,10738.0
bus_3010,2713.0,10725.0
bus_3011,2662.0,10742.0
bus_3012,2605.0,10744.0
bus_3013,2652.0,10793.0
bus_3014,3167.0,9626.0
bus_3016,3127.0,9665.0
bus_3017,3316.0,10762.0
bus_3018,3300.0,10753.0
bus_3019,3295.0,10842.0
bus_3020,3282.0,10937.0
bus_3021,2762.0,10826.0
bus_3022,2673.0,10883.0
bus_3023,2744.0,12630.0
bus_3024,4178.0,10438.0
bus_3025,4220.0,10524.0
bus_3026,4238.0,10512.0
bus_3028,2825.0,10784.0
bus_3029,2786.0,10844.0
bus_3032,2391.0,11672.0
bus_3033,2558.0,11805.0
bus_3034,2819.0,11084.0
bus_3035,2749.0,11150.0
bus_3038,2342.0,11561.0
bus_3039,4101.0,11635.0
bus_3044,3085.0,12000.0
bus_3046,3070.0,12061.0
bus_3048,3505.0,9689.0
bus_3049,3507.0,9759.0
bus_3050,4181.0,11780.0
bus_3051,4217.0,11724.0
bus_3053,4291.0,11802.0
bus_3054,4178.0,11877.0
bus_3055,4239.0,11968.0
bus_3056,3062.0,9618.0
bus_3057,2979.0,9631.0
bus_3058,2750.0,10089.0
bus_3059,2657.0,10125.0
bus_3060,4069.0,11838.0
bus_3062,3907.0,12152.0
bus_3064,2805.0,12529.0
bus_3066,3168.0,12405.0
bus_3067,3121.0,13236.0
bus_3068,3040.0,13167.0
bus_3069,3333.0,12723.0
bus_3070,3362.0,12829.0
bus_3071,2551.0,13005.0
bus_3072,2908.0,10723.0
bus_3074,3107.0,9476.0
bus_3075,3029.0,9471.0
bus_3076,3111.0,13510.0
bus_3077,2984.0,13598.0
bus_3078,2974.0,13610.0
bus_3080,2632.0,13712.0
bus_3081,2606.0,13809.0
bus_3082,2085.0,13634.0
bus_3083,2591.0,13963.0
bus_3085,2598.0,14069.0
bus_3087,2332.0,13962.0
bus_3088,2326.0,13939.0
bus_3089,2408.0,13985.0
bus_3090,2261.0,14030.0
bus_3091,2380.0,14096.0
bus_3094,2163.0,13494.0
bus_3095,2082.0,13554.0
bus_3096,3045.0,13267.0
bus_3099,3135.0,9613.0
bus_3100,3058.0,9646.0
bus_3101,2620.0,10981.0
bus_3102,2612.0,10965.0
bus_3103,2548.0,11000.0
bus_3106,3037.0,12022.0
bus_3107,3009.0,12114.0
bus_3108,3365.0,12598.0
bus_3110,3372.0,12692.0
bus_3111,3120.0,12502.0
bus_3112,3103.0,12602.0
bus_3113,3129.0,12604.0
bus_3114,2685.0,12751.0
bus_3115,2608.0,12810.0
bus_3116,2804.0,10720.0
bus_3117,3588.0,12154.0
bus_3118,3624.0,12247.0
bus_3120,3523.0,12181.0
bus_3121,3544.0,12265.0
bus_3122,2723.0,11688.0
bus_3123,2786.0,9068.0
bus_3124,2684.0,9044.0
bus_3125,2685.0,9070.0
bus_3126,5160.0,10957.0
bus_3128,2783.0,13396.0
bus_3129,2851.0,9762.0
bus_3130,2752.0,9784.0
bus_3131,3053.0,9921.0
bus_3132,2963.0,9955.0
bus_3133,2973.0,9981.0
bus_3134,3052.0,9141.0
bus_3135,2999.0,9107.0
bus_3136,2990.0,9131.0
bus_3137,4551.0,10778.0
bus_3140,2902.0,13429.0
bus_3141,2913.0,13426.0
bus_3142,2986.0,13543.0
bus_3143,2437.0,13907.0
bus_3144,2455.0,13907.0
bus_3145,2442.0,13976.0
bus_3147,3230.0,13613.0
bus_3148,2735.0,13360.0
bus_3149,3639.0,12176.0
bus_3150,4068.0,12064.0
bus_3151,4004.0,11977.0
bus_3152,2873.0,12087.0
bus_3154,4689.0,10820.0
bus_3155,4676.0,10836.0
bus_3156,4629.0,10829.0
bus_3157,2666.0,11498.0
bus_3158,4365.0,10233.0
bus_3159,3403.0,12680.0
bus_3160,3276.0,12485.0
bus_3161,3112.0,12452.0
bus_3162,3098.0,12547.0
bus_3163,3514.0,9389.0
bus_3165,3009.0,12408.0
bus_3167,3385.0,12191.0
bus_3168,3408.0,12274.0
bus_3169,2854.0,12588.0
bus_3170,3213.0,9641.0
bus_3171,3192.0,9574.0
bus_3172,2724.0,12850.0
bus_3173,2800.0,10765.0
bus_3174,2633.0,10761.0
bus_3176,2964.0,12089.0
bus_3177,2809.0,9055.0
bus_3178,2726.0,9014.0
bus_3179,2722.0,9034.0
bus_3180,2502.0,14077.0
bus_3183,2507.0,14153.0
bus_3184,2576.0,11278.0
bus_3186,2505.0,11285.0
bus_3187,2711.0,11043.0
bus_3188,2626.0,11102.0
bus_3189,2689.0,13776.0
bus_3190,3267.0,13507.0
bus_3191,2690.0,13882.0
bus_3192,3082.0,9925.0
bus_3193,3012.0,9965.0
bus_3194,2556.0,12777.0
bus_3195,2641.0,12727.0
bus_3196,2991.0,12520.0
bus_3198,3114.0,13319.0
bus_3199,3097.0,13333.0
bus_3200,3149.0,13369.0
bus_3201,3299.0,12587.0
bus_3202,3307.0,12713.0
